FoodGroup,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
Animal source,717,0.85,81.11,0.06,0.06,0,684,0.003,0.17,0,2.32,3,0.042,0.034,0.005,24,0,0.02,2,0,24,1,0.09
Animal source,717,0.85,81.11,0.06,0.06,0,684,0.003,0.13,0,2.32,3,0.042,0.034,0.005,24,0.016,0.16,2,0.004,23,1,0.05
Animal source,876,0.28,99.48,0,0,0,840,0.001,0.01,0,2.8,0,0.003,0.005,0.001,4,0.001,0,0,0,3,0,0.01
Animal source,353,21.4,28.74,2.34,0.5,0,198,0.166,1.22,0,0.25,36,1.016,0.382,0.029,528,0.04,0.31,23,0.009,387,14.5,2.66
Animal source,371,23.24,29.68,2.79,0.51,0,292,0.065,1.26,0,0.26,20,0.118,0.351,0.014,674,0.024,0.43,24,0.012,451,14.5,2.6
Animal source,334,20.75,27.68,0.45,0.45,0,174,0.235,1.65,0,0.24,65,0.38,0.52,0.07,184,0.019,0.5,20,0.034,188,14.5,2.38
Animal source,300,19.8,24.26,0.46,0.46,0,241,0.227,1.3,0,0.21,62,0.63,0.488,0.028,388,0.021,0.33,20,0.038,347,14.5,2.38
Animal source,376,25.18,29.2,3.06,0,0,271,0.074,0.27,0,0,18,0.18,0.45,0.031,673,0.024,0.64,22,0.021,490,14.5,2.94
Animal source,406,24.04,33.82,1.33,0.28,0,263,0.049,0.88,0,0.78,26,0.039,0.434,0.027,675,0.056,0.16,27,0.033,473,28.3,3.43
Animal source,387,23.37,30.6,4.78,0,0,233,0.074,0.83,0,0,18,0.08,0.293,0.046,643,0.042,0.21,21,0.012,464,14.5,2.79
Animal source,394,23.76,32.11,2.57,0.52,0,264,0.079,0.83,0,0.28,18,0.093,0.375,0.015,685,0.042,0.76,26,0.012,457,14.5,3.07
Animal source,98,11.12,4.3,3.38,2.67,0,37,0.046,0.43,0,0.08,12,0.099,0.163,0.027,83,0.029,0.07,8,0.002,159,9.7,0.4
